service_request_id,service_request_parent_id,sap_notification_number,requested_datetime,case_age_days,service_name,case_record_type,updated_datetime,status,lat,long,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description
2505665,NA,NA,2019-02-08T15:11:00,3,Potential Missed Collection,ESD Complaint/Report,2019-02-11T00:00:00,Closed,33.9131855,-118.2131194,NA,NA,,,Phone,,"recycle missed, requesting for pick up please. No tag was left."
99992,NA,1.50001E+11,2016-08-17T07:20:00,66,Engineering - Stop Sign,Traffic Engineering,2016-10-22T00:00:00,Closed,32.9054996,-117.1540872,6,15,Mira Mesa,,Web,,"There is currently no stop sign at the corner of Hemphill Drive and Gold Coast Drive, even though this intersection is at the end of a curve from Gold Coast which (without the sign) traffic flows through at a fast rate.  It is impossible to safely turn or walk from Hemphill on to Gold Coast since this fast traffic cannot be seen beyond the curve.  Since this intersection is within one block of a school, this problem needs to be resolved before school starts since it presents an immediate safety hazard.  If accidents have not yet occurred in this location, it is simply a matter of time before one does."
218276,NA,NA,2017-08-03T15:58:00,NA,Illegal Dumping,ESD Complaint/Report,,Referred,32.571146,-117.029161,8,26,Otay Mesa,,Mobile,This report has been referred to Environmental Services Department at trash@sandiego.gov,
134908,131828,NA,2017-01-17T09:41:00,17,Pothole,TSW,2017-02-03T00:00:00,Closed,32.8778159,-117.2183858,1,99,University,,Web,,Pothole north bound getting larger.
236279,NA,NA,2017-09-18T12:59:00,NA,Sidewalk Repair Issue,TSW,,Referred,32.71788826,-117.133704,3,8,Greater Golden Hill,,Web,This report has been referred to appropriate department or agency at CSkiffington@sandiego.gov,
159246,NA,1.50001E+11,2017-03-09T17:04:00,110,Traffic Signal Other Problem,TSW,2017-06-28T00:00:00,Closed,32.89577517,-117.1349694,6,15,Mira Mesa,,Phone,,STUCK GREEN
197322,NA,NA,2017-06-13T13:29:00,NA,72 Hour Violation,Parking,,Referred,32.8249196,-117.0788415,7,47,Tierrasanta,,Mobile,This report has been referred to Police Department at SDPDabandonedcars@pd.sandiego.gov,
2522975,NA,40300108671,2019-02-27T18:42:00,107,Street Light Out,TSW,,In Process,32.73641222,-117.1593307,3,1,Balboa Park,,Mobile,,
2515145,NA,40300105719,2019-02-19T14:31:00,91,Engineering - Traffic Signal Timing Review,Traffic Engineering,2019-05-21T00:00:00,Closed,32.80126803,-117.2256692,2,27,Pacific Beach,,Mobile,,The lights are out of sync so during busy hours we have to sit through the light to turn left on grand twice because it's backed up and no one can turn left and those wanting to turn right can't because they are stuck behind the people turning left. Causes a back up between Barnard school and mission bay high
227842,NA,40300012277,2017-08-27T12:24:00,304,Street Light Out,TSW,2018-06-28T00:00:00,Closed,32.75476762,-117.2195819,2,30,Peninsula,,Web,,There are 5 street lights around this intersection that are burnt out. They all use HPS bulbs.
2572654,NA,NA,2019-04-24T11:53:00,5,Potential Missed Collection,ESD Complaint/Report,2019-04-29T00:00:00,Closed,32.7553617,-117.1802169,3,42,Uptown,,Phone,,Street has been pick up street has been pick up
2576657,NA,NA,2019-04-28T17:15:00,24,72 Hour Violation,Parking,2019-05-22T00:00:00,Closed,32.70679,-117.05538,4,11,Encanto Neighborhoods,,Web,,car has been parked on corner over a week causing traffic hazard. corner of 63rd st and Shaules Ave.
269740,NA,NA,2017-12-15T20:19:00,0,Sidewalk Repair Issue,TSW,2017-12-16T00:00:00,Closed,32.71471443,-117.1602468,3,4,Downtown,,Mobile,,Trip hole in brick side walk
280581,NA,NA,2018-01-15T15:04:00,NA,Other,TSW,,Referred,32.75016711,-117.1769569,3,42,Uptown,MISSION HILLS NP,Mobile,This report has been referred to Environmental Services at trash@sandiego.gov,I would like to request the placement of a recycling container at the Tennis courts
365465,NA,NA,2018-07-16T16:43:00,3,72 Hour Violation,Parking,2018-07-19T00:00:00,Closed,32.75776,-117.122528,3,59,Mid-City:Normal Heights,,Web,,
2521279,NA,NA,2019-02-26T09:39:00,13,Graffiti Removal,TSW,2019-03-11T00:00:00,Closed,32.69308,-117.1032722,9,37,Southeastern San Diego,,Mobile,,
83004,NA,1.50001E+11,2016-06-02T11:35:00,8,Paint Striping - Maintain,TSW,2016-06-10T00:00:00,Closed,32.7311158,-117.1686596,3,42,Uptown,,Mobile,,Stop line and the word STOP are virtually nonexistent.
289921,NA,NA,2018-02-03T19:08:00,NA,Other,TSW,,Referred,32.81340174,-117.1738474,6,6,Clairemont Mesa,,Mobile,This report has been referred to Police CRO ? Northern at sdpdnorthern@pd.sandiego.gov,"Illegal activity every night including right now in the culdesac. People doing heroin, littering empty needles, beer bottles cigarette butts. Every night. Please send a patrol car to try and curb this activity. Thank you"
2493516,2493179,NA,2019-01-25T10:47:00,5,Traffic Signal On Flash,TSW,2019-01-30T00:00:00,Closed,32.71573157,-117.1601654,3,4,Downtown,,Phone,,on flash
2545640,NA,40300117905,2019-03-25T14:58:00,81,Pothole,TSW,,In Process,32.75680677,-117.2227576,2,14,Midway-Pacific Highway,,Web,This report has been referred to Field Engineering at engineering@sandiego.gov,"Utility trench perpendicular and across both west bound lanes right at the south guardrail of I-8 east bound overpass above has sunken and lots more asphalt is needed to avoid a severe vehicle jolt, accident or injury. Asphalt laying should be at adjoining asphalt lever for smoother ride in BOTH lanes from median to curb. Thanks !!"
2606927,NA,NA,2019-05-30T16:20:00,0,Missed Collection,ESD Complaint/Report,2019-05-30T00:00:00,Closed,32.7517996,-117.1532675,3,42,Uptown,,Mobile,,Garbage not picked up
397846,NA,NA,2018-08-22T21:51:00,NA,Sidewalk Repair Issue,TSW,,Referred,32.75864012,-117.1277992,3,28,North Park,,Mobile,This report has been referred to Water Repair (PUD) at water@sandiego.gov,This drain on the sidewalk at 4470 Illinois Street 92116 has been leaking for weeks. It's causing water runoff and the surrounding gutters have been constantly wet for weeks. There are always water leakage problems on Illinois Street.
2577694,NA,NA,2019-04-29T19:09:00,0,Illegal Dumping,ESD Complaint/Report,2019-04-29T00:00:00,Closed,32.6962721,-117.0870244,4,11,Encanto Neighborhoods,,FO Self Generate,,Stove
279836,NA,1.50001E+11,2018-01-13T10:15:00,4,Tree/Limb Fallen/Hanging,TSW,2018-01-17T00:00:00,Closed,32.756909,-117.1200994,3,59,Mid-City:Normal Heights,,Web,,Large city-protected palm on south edge of property in the park way that is tilted to the southwest and will soon fall on my neighbor's house.It's tall and skinny and must be seen from west. Mail carrier sees it. Private arborist sees it. Insurance company notified.
193786,NA,NA,2017-06-05T07:37:00,NA,72 Hour Violation,Parking,,Referred,32.7195006,-117.1311713,3,8,Greater Golden Hill,,Web,This report has been referred to Police Department at SDPDabandonedcars@pd.sandiego.gov,
120801,120765,NA,2016-11-27T15:41:00,1,Tree/Limb Fallen/Hanging,TSW,2016-11-29T00:00:00,Closed,32.9319527,-117.1219911,6,15,Mira Mesa,,Web,,Tree has fallen and is blocking road. It does not look like it fell on any cars or people but no cars can go through. It is on Questa Pointe about 50 yards after turning onto that road from Westview Parkway.
90550,NA,NA,2016-06-28T16:07:00,NA,Other,TSW,,Referred,32.9610869,-117.1976086,1,62,Pacific Highlands Ranch,,Web,Environmental Services,There are rolls of carpet that have been there all this week along Carmel Vista Road cross street Valley Centre Drive.
192091,NA,NA,2017-05-31T18:34:00,NA,72 Hour Violation,Parking,,Referred,32.842135,-117.1958591,6,6,Clairemont Mesa,,Web,This report has been referred to Police Department at SDPDabandonedcars@pd.sandiego.gov,
387626,NA,NA,2018-08-03T18:37:00,0,Oversized Vehicle Complaints,Parking,2018-08-03T00:00:00,Closed,32.8184,-117.174,6,6,Clairemont Mesa,,Web,,Massive tractor trailer parked in residential neighborhood
146060,NA,1.50001E+11,2017-02-07T17:03:00,14,Street Light Out,TSW,2017-02-22T00:00:00,Closed,32.803332,-117.0293769,7,20,Navajo,,Web,,"light burned out, needs replacement"
2485163,NA,NA,2019-01-14T19:56:00,23,72 Hour Violation,Parking,2019-02-06T00:00:00,Closed,32.66978,-117.04633,4,44,Skyline-Paradise Hills,,Mobile,,Vehicle has no rear plates. Vehicle was parked on same side of gps location and moved across the street.
224569,NA,1.50001E+11,2017-08-18T12:34:00,12,Traffic Signal Other Problem,TSW,2017-08-31T00:00:00,Closed,32.95943544,-117.1155009,5,29,Rancho Penasquitos,,Phone,,WTR DPT. PULLED UNMARKED SIGNAL CABLE WIRE DURING WORK
2556363,NA,NA,2019-04-05T15:59:00,6,72 Hour Violation,Parking,2019-04-11T00:00:00,Closed,32.76635,-117.11567,3,59,Mid-City:Normal Heights,,Web,,"Vehicle has been parked for well over 72 hours in same spot.  The driver's side is damaged, and the drivers side window has been replaced with a cardboard election sign.  This vehicle has been parking for 72+ hrs in this area for months"
155610,NA,40300010012,2017-03-03T14:35:00,829,Drain Maintenance ,TSW,,In Process,32.70958,-117.127643,8,37,Southeastern San Diego,,Mobile,,"Flooded All The Time, for at least 2 years"
157149,NA,1.50001E+11,2017-03-07T13:51:00,45,Evaluate Tree for Removal/Root Prune,TSW,2017-04-22T00:00:00,Closed,32.85454462,-117.1983274,1,99,University,,Phone,,EVAL LEANING TREE IN FRONT OF PROPERTY
345532,NA,NA,2018-06-06T10:25:00,0,Graffiti Removal,TSW,2018-06-06T00:00:00,Closed,32.69679919,-117.1256496,8,37,Southeastern San Diego,,Crew/Self Generated,,Graffiti Reported at 3175Logan Ave
2410059,NA,NA,2018-09-27T08:41:00,NA,Graffiti Removal,TSW,,Referred,32.697879,-117.116747,9,37,Southeastern San Diego,,Mobile,This report has been referred to Water Repair (PUD) at water@sandiego.gov,Graffiti
169082,NA,1.50001E+11,2017-04-04T22:14:00,63,Pothole,TSW,2017-06-07T00:00:00,Closed,32.7999067,-117.062898,7,20,Navajo,,Web,,Potholes on Margerum Avenue
104569,101458,NA,2016-09-09T15:21:00,146,Street Light Out,TSW,2017-02-03T00:00:00,Closed,32.8449913,-117.2489753,1,10,La Jolla,,Web,,The street light at the intersection of Via Capri and Hidden Valley Rd. in La Jolla is out and needs to be fixed.
281735,276561,NA,2018-01-17T16:54:00,1,Traffic Signal Other Problem,TSW,2018-01-19T00:00:00,Closed,32.91049401,-117.1556185,6,15,Mira Mesa,,Mobile,,"Traffic light at Mira Mesa blvd and park dale going east , it takes 20 to 25 min waiting for green light,it's a very long traffic"
252231,NA,NA,2017-10-30T09:35:00,217,Graffiti Removal,TSW,2018-06-04T00:00:00,Closed,32.55279578,-117.0456912,8,33,San Ysidro,,Phone,,Graffiti on wall
199066,NA,NA,2017-06-18T13:26:00,NA,72 Hour Violation,Parking,,Referred,32.7679951,-117.0494622,9,57,Mid-City:Eastern Area,,Web,This report has been referred to Police Department at SDPDabandonedcars@pd.sandiego.gov,
86685,86153,NA,2016-06-08T09:52:00,15,Graffiti Removal,TSW,2016-06-23T00:00:00,Closed,32.81708665,-117.1756468,6,6,Clairemont Mesa,,Phone,,GRAFFITI ON MT. AGUILAR BETWEEN MT. ALIFAN & MT. ABRAHAM. GRAFFITI IS LOCATED ON THE NORTH SIDE OF A FENCE FACING SOUTH.
172866,NA,1.50001E+11,2017-04-14T08:55:00,19,Pothole,TSW,2017-05-03T00:00:00,Closed,32.583546,-117.069311,8,25,Otay Mesa-Nestor,MONTGOMERY-WALLER CP,Mobile,,Big pot hole in paking lot
2548355,2543629,NA,2019-03-28T06:30:00,70,Illegal Dumping,ESD Complaint/Report,2019-06-06T00:00:00,Closed,32.740302,-117.109044,9,56,Mid-City:City Heights,,Mobile,,Trash again! Once its cleaned its filled again.
2611415,NA,NA,2019-06-04T08:16:00,1,Missed Collection,ESD Complaint/Report,2019-06-05T00:00:00,Closed,NA,NA,NA,NA,,,Phone,,Missed greens
132626,NA,1.50001E+11,2017-01-11T10:54:00,273,Sidewalk Repair Issue,TSW,2017-10-11T00:00:00,Closed,32.755042,-117.113483,9,56,Mid-City:City Heights,,Mobile,,Uneven sidewalk
270415,NA,1.50001E+11,2017-12-18T11:24:00,3,Bicycle Removal,TSW,2017-12-21T00:00:00,Closed,32.77844518,-117.2503341,2,17,Mission Bay Park,MISSION BAY PARK,Mobile,,Abandoned bike half way out El Carmel Pt on south side. This is my second request for removal. Thank you
327282,NA,NA,2018-04-26T20:38:00,NA,Illegal Dumping,ESD Complaint/Report,,Referred,32.772421,-117.251836,2,18,Mission Beach,,Mobile,This report has been referred to Environmental Services Department at trash@sandiego.gov,
2570596,NA,NA,2019-04-22T13:52:00,14,Graffiti Removal,TSW,2019-05-06T00:00:00,Closed,32.68753313,-117.1123949,8,37,Southeastern San Diego,,Mobile,,Submitted by Urban Corps
2605065,2583343,NA,2019-05-29T09:11:00,1,72 Hour Violation,Parking,2019-05-30T00:00:00,Closed,32.75915,-117.09926,9,58,Mid-City:Kensington-Talmadge,,Web,,"4450 Monroe Ave, San Diego, CA 92115, USA"
223164,NA,1.50001E+11,2017-08-15T12:29:00,14,Pothole,TSW,2017-08-30T00:00:00,Closed,32.8378982,-117.2748937,1,10,La Jolla,,Web,,Entire alley from pearl to silver behind 7509 Draper is a mess
2411664,NA,NA,2018-09-28T15:27:00,5,Missed Collection,ESD Complaint/Report,2018-10-03T00:00:00,Closed,32.7565525,-117.0591578,9,57,Mid-City:Eastern Area,,Phone,,Missed trash claims neighbors already collected.
2597834,NA,40300133164,2019-05-21T06:58:00,1,Street Sweeping,TSW,2019-05-22T00:00:00,Closed,32.80860957,-117.1442085,7,50,Kearny Mesa,,Mobile,,Another request. PLEASE DO SWEEPING HERE. You closed the previous request with no action. Street full of sand and pebbles
88013,NA,1.50001E+11,2016-06-14T17:01:00,231,Traffic Signal Head Turned,TSW,2017-02-01T00:00:00,Closed,32.7308404,-117.1694694,3,42,Uptown,,Web,,A signal head has been struck by a tall vehicle and turned away from traffic on the southwest corner of State St and W Laurel St -- the signal head faces westbound traffic.
133384,NA,1.50001E+11,2017-01-13T08:32:00,6,Drain Maintenance ,TSW,2017-01-19T00:00:00,Closed,32.79525819,-117.1770738,7,12,Linda Vista,,Phone,,Plugged drain- light flooding
298430,NA,NA,2018-02-22T17:54:00,11,72 Hour Violation,Parking,2018-03-05T00:00:00,Closed,32.74727003,-117.116415,9,56,Mid-City:City Heights,,Mobile,,
2510138,NA,40300104003,2019-02-14T08:48:00,12,Pothole,TSW,2019-02-26T00:00:00,Closed,32.77168223,-117.2052082,2,6,Clairemont Mesa,,Mobile,,On right side near sidewalk
262017,NA,1.50001E+11,2017-11-25T22:30:00,38,Street Light Out,TSW,2018-01-03T00:00:00,Closed,32.74550063,-117.2468331,2,23,Ocean Beach,,Web,,"3 lights out in vicinity of OB Elementary School and OB Library. One on the NE corner of Sunset Cliffs Blvd and Santa Monica Ave, another at the same intersection but the SE corner and the third is the light just south of the second out front of the school on Sunset Cliffs Blvd."
2479294,NA,NA,2019-01-07T11:37:00,102,Graffiti Removal,TSW,2019-04-19T00:00:00,Closed,32.72612,-117.167155,3,4,Downtown,,Mobile,,
2556003,NA,40300120999,2019-04-05T11:24:00,47,Engineering - Parking Evaluation,Traffic Engineering,2019-05-22T00:00:00,Closed,32.752703,-117.1249816,3,28,North Park,,Web,,"Please evaluate 32nd Street between Polk Ave and Howard Ave for angled parking. There are not enough parking spaces on nights and weekends. Adrian Roman is already looking at case ""40300117988, 4065 Iowa St, Angle Parking Evaluation Request"""
2450012,NA,NA,2018-11-22T10:33:00,11,Graffiti Removal,TSW,2018-12-03T00:00:00,Closed,32.74338894,-117.0719462,4,57,Mid-City:Eastern Area,,Mobile,,Graffiti on sidewalk
388365,NA,NA,2018-08-06T07:39:00,NA,Other,TSW,,Referred,32.74785232,-117.145605,3,28,North Park,,Mobile,This report has been referred to Field Engineering at engineering@sandiego.gov,"This unfinished construction site has inconvenienced residents for months, and the city has given us absolutely no updates as to its progress. The latest inconvenience has been that residents in the immediate vicinity of the alley pictured have been banned by the City from parking in their own off-street parking spaces: first last Monday through Wednesday, 7 a.m. to 5 p.m. and now today (Monday) through this Wednesday. The problem: Other than a few lines painted on the alley, absolutely no work has been so far. And as I type this, the time is 7:35 a.m., and there are no workers in sight, despite the 7?5 parking restriction. This is unacceptable. Progress has not been made, so I plan to file a formal complaint with the city and am considering calling local media so others are aware of this type of problem. Residents don't pay taxes to have shoddy roads and restricted parking for no good reason."
229261,NA,1.50001E+11,2017-08-30T16:27:00,82,Evaluate Tree for Removal/Root Prune,TSW,2017-11-21T00:00:00,Closed,32.80004209,-117.2487688,2,27,Pacific Beach,,Phone,,eval dead tree for removal
310005,NA,40300017175,2018-03-21T15:29:00,69,Pothole,TSW,2018-05-29T00:00:00,Closed,32.79252162,-117.2514473,2,27,Pacific Beach,,Mobile,,Giant potholes in front of 932 Oliver and 935.
2434506,NA,NA,2018-10-30T14:26:00,NA,OTHER,TSW,,Referred,32.728866,-117.158956,3,1,Balboa Park,BALBOA PARK,Mobile,This report has been referred to Police - Active Homeless Encampments at neighborhoodpolicing@pd.sandiego.gov,
188301,NA,NA,2017-05-22T12:43:00,9,Graffiti Removal,TSW,2017-05-31T00:00:00,Closed,32.7605401,-117.1097455,3,59,Mid-City:Normal Heights,,Web,,Trash and recycling bins graffiti'd
253245,NA,NA,2017-11-01T12:46:00,NA,72 Hour Violation,Parking,,Referred,32.69798161,-117.1135581,9,37,Southeastern San Diego,,Mobile,This report has been referred to Police Department at SDPDabandonedcars@pd.sandiego.gov,
371137,NA,NA,2018-07-28T04:59:00,6,Graffiti Removal - Code Enforcement,TSW,2018-08-03T00:00:00,Closed,32.798024,-117.248224,2,27,Pacific Beach,,Mobile,,
2464204,NA,40300089491,2018-12-13T08:13:00,1,Drain Maintenance ,TSW,2018-12-14T00:00:00,Closed,32.846649,-117.243039,1,10,La Jolla,,Mobile,,Storm drain completely covered with sand and lots of mud. Causes roadway to flood so it's impossible to drive on road during rain storms
2482968,NA,40300094786,2019-01-11T10:22:00,11,Pothole,TSW,2019-01-22T00:00:00,Closed,32.93673312,-117.1112687,5,9,Miramar Ranch North,,Phone,,POT HOLES EASTBOUND BEFORE THE I 15.
122390,NA,1.50001E+11,2016-12-04T17:55:00,11,Sidewalk Repair Issue,TSW,2016-12-16T00:00:00,Closed,32.71433592,-117.1639314,3,4,Downtown,,Web,,On the East side of 1st between E and F street there is a trip hazard.
2385841,NA,NA,2018-08-27T14:28:00,NA,Other,TSW,,Referred,32.753706,-117.095795,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Police CRO ? Mid-City at sdpdmidcity@pd.sandiego.gov,People living in garage on alley. Noise all night
2418557,NA,40300075129,2018-10-08T17:31:00,3,Pothole,TSW,2018-10-11T00:00:00,Closed,32.67206144,-117.0565758,4,44,Skyline-Paradise Hills,,Mobile,,"Several inch deep, >ft wide pothole catty corner to PVL Elementary"
138260,137580,NA,2017-01-23T17:09:00,151,Pothole,TSW,2017-06-24T00:00:00,Closed,32.83498144,-117.199405,6,6,Clairemont Mesa,,Web,,"Numerous deep potholes in alley behind apartments and Northminster preschool.  Alley is between Conrad Ave. and Clairemont Mesa Blvd.  Potholes are dangerous because they are not visible at night or when the alley is wet.  There are so many potholes that is  impossible to drive around them.  Children ride their bikes in the alley, and parents use the alley to access the preschool.  Apartment residents park off the alley, so there is quite a lot of traffic."
388309,NA,40300059280,2018-08-05T22:11:00,2,Street Sweeping,TSW,2018-08-07T00:00:00,Closed,32.72199641,-117.157498,3,4,Downtown,,Phone,,GLASS IN STREET FROM CAR ACCIDENT
361799,NA,40300051818,2018-07-09T15:20:00,112,Tree Trimming Contract,TSW,2018-10-30T00:00:00,Closed,32.713875,-117.1411888,3,8,Greater Golden Hill,,Mobile,,Palm tree has excessive date nuts falling on vehicles & sidewalk creating a huge hazardous liability for someone to slip and fall.
196279,NA,NA,2017-06-10T12:51:00,NA,Other,TSW,,Referred,32.683781,-117.035826,4,44,Skyline-Paradise Hills,,Mobile,This report has been referred to Police CRO ? Southern at sdpdsouthern@pd.sandiego.gov,Silver Lexus parked wrong way and blocking exit of neighbors car and she is a senior which makes it more difficult to back out of her driveway. This car has been parked here 2 days
353756,NA,NA,2018-06-22T13:54:00,NA,Other,TSW,,Referred,32.6996515,-117.1425877,8,2,Barrio Logan,,Web,This report has been referred to Park and Recreation at askparks@sandiego.gov,One of the courts is missng a rim. Its the courts closet to the handball courts on the street side
2614012,NA,40300136435,2019-06-06T09:00:00,0,Drain Maintenance ,TSW,2019-06-06T00:00:00,Closed,32.7157535,-117.1590669,3,4,Downtown,,Phone,,BROKEN
117090,NA,1.50001E+11,2016-11-08T11:09:00,16,Graffiti Removal,TSW,2016-11-24T00:00:00,Closed,32.74786259,-117.108238,9,56,Mid-City:City Heights,,Web,,
342949,NA,40300035891,2018-05-31T15:34:00,18,Street Light Out,TSW,2018-06-18T00:00:00,Closed,32.780931,-117.172364,7,12,Linda Vista,,Web,,Streetlights out throughout street at 6808 Tait Street in San Diego.
101739,NA,1.50001E+11,2016-08-25T17:01:00,12,Engineering - Street Light,Traffic Engineering,2016-09-07T00:00:00,Closed,32.71901177,-117.2529378,2,30,Peninsula,,Web,,"The timeline  regarding the present lack of street lighting is as follows:There were two streetlights on the cul-de-sac when I moved into my house in 1994. One at the extreme southeast end of the cul-de-sac at a then existing driveway entrance and a second one in the parkway directly across from my home. Sometime after 2003 when my neighbor, Craig Irving, bought the three undeveloped parcels across from me to build a single family residence on the now combined property (4095 Lomaland Drive) both street lights were removed during construction since his improvements included the under grounding of the existing power lines. No replacement street lighting was installed after the removal of power poles. During the last few years since entry into the adjacent nature park was made accessible we have had a significant increase in traffic which unfortunately includes much illegal night time activity including, but certainly not limited to, over night camping, public urination and defecation, under age drinking, drug use, fornication and daily litter related to all of the above. It presents an unsafe condition for both my family and the young families that have recently moved into the immediate neighborhood. I am requesting that an individual light post be reinstalled at the previous location directly across from my home in the interest of discouraging the illegal behavior we have had to tolerate for far too long. Thank you for your attention to this matter, Tom Hayes"
183330,183311,NA,2017-05-10T16:09:00,5,Paint Striping - Maintain,TSW,2017-05-16T00:00:00,Closed,32.55880333,-117.0606,8,33,San Ysidro,,Mobile,,Paint yellow after they fix big pot hole
235423,NA,1.50001E+11,2017-09-15T15:39:00,6,Traffic Signal Other Problem,TSW,2017-09-22T00:00:00,Closed,32.749524,-117.094456,9,56,Mid-City:City Heights,,Mobile,,"Xwalk lights out, both sides"
2487494,NA,40300096188,2019-01-17T12:24:00,148,Evaluate for Resurfacing,TSW,,In Process,32.68155043,-117.0547035,4,44,Skyline-Paradise Hills,,Phone,,Resurface street
2422787,NA,40300076372,2018-10-14T11:13:00,25,Traffic Signal Timing Issue,TSW,2018-11-08T00:00:00,Closed,32.71885885,-117.1647429,3,4,Downtown,,Phone,,"VERY SHORT GREEN ,  N/B & S/B"
2395412,NA,NA,2018-09-08T13:26:00,3,Graffiti Removal,TSW,2018-09-11T00:00:00,Closed,32.747923,-117.099315,9,56,Mid-City:City Heights,,Mobile,,Graffiti
2563982,2559441,NA,2019-04-15T11:05:00,NA,Pothole,TSW,2019-04-15T00:00:00,Referred,32.743308,-117.181472,3,42,Uptown,,Mobile,This report has been referred to Water Repair (PUD) at water@sandiego.gov,Water department performed water line repair a few months ago and now the area where they patched has sunk in the parking lot. It has continued to sink and is causing a tripping hazard.
183003,NA,NA,2017-05-10T08:01:00,6,Graffiti Removal,TSW,2017-05-16T00:00:00,Closed,32.75898123,-117.0986393,9,58,Mid-City:Kensington-Talmadge,,Mobile,,
262265,262166,NA,2017-11-26T18:18:00,10,Pothole,TSW,2017-12-07T00:00:00,Closed,32.80509876,-117.017609,7,20,Navajo,,Mobile,,"Painted ""slow"" sign just before school cross walk  on northbound boulder lake between whelan and Hudson.potholes around paint nearly 2inches deep."
2433374,NA,NA,2018-10-29T12:07:00,1,Potential Missed Collection,ESD Complaint/Report,2018-10-30T00:00:00,Closed,32.911983,-117.199215,6,15,Mira Mesa,,Web,,RECYclye Bin was not picked up.
320319,NA,NA,2018-04-11T21:37:00,6,72 Hour Violation,Parking,2018-04-17T00:00:00,Closed,32.7111806,-117.1469019,8,37,Southeastern San Diego,,Web,,
2585972,NA,NA,2019-05-08T08:42:00,1,Potential Missed Collection,ESD Complaint/Report,2019-05-09T00:00:00,Closed,32.7301258,-117.1673515,3,42,Uptown,,Phone,,Missed Refuse  Street has been pick up
