City of San Diego Water Department,,,,,,,,,,,,,,,
Water Operations Division,,,,,,,,,,,,,,,
"Water Distribution System Sample Siting Plan, June 2007",,,,,,,,,,,,,,,
Pressure Zone Name,Reservoir Name,Capacity (MG),Zone Elevation (HGL),Field  Book Page,Sampling Route,Sample Site Designator and Laboratory Identification Number,Location Description,Latitude,Longitude,"Sampling Frequency, 2005 Plan",Normal Sampling Day,Approximate Sample Time,Flush Time,Multiple Sample Site depths/elevations,Status
Alvarado,Alvarado East,21,536,M16S,central,82 SYS,Alavarado East Clearwell," 32°46'49.89""N","117° 2'43.91""W",Monday thru Friday,Monday thru Friday,,3-5 min.,No,
Alvarado,Earl Thomas,35,536,M16S,central,90 SYS,5540 Kiowa Dr (Earl Thomas Reservoir)," 32°46'48.56""N","117° 2'27.38""W",Monday thru Friday,Monday thru Friday,,3-5 min.,No,
Otay,Otay West Clearwell Low Level,7,,R32S,,96 SYS_MID,"Otay West Clearwell 1500 Wueste Rd, Chula Vista CA"," 32°36'25.09""N","116°55'57.65""W",Monday thru Friday,Monday thru Friday,,3-5 min.,Yes,
Otay,Otay East Clearwell Low Level,7,,R32S,,99 SYS_MID,"Otay East Clearwell 1500 Wueste Rd, Chula Vista CA"," 32°36'25.09""N","116°55'57.65""W",Monday thru Friday,Monday thru Friday,,3-5 min.,Yes,
Otay,South San Diego Reservoir,15.3,,,,,," 32°36'2.72""N","116°58'33.69""W",Monthly,,,10 min.,No,
Redwood Village,Redwood Village,2,645,L19S,south,108 SYS_MID,6056 Hughes St. (Behind a school campus)," 32°44'54.67""N","117° 4'1.55""W",Weekly,Wednesday,6:30,3-5 min.,Yes,
San Carlos,College Ranch Standpipe,1.5,849,N14S,central,110 SYS,8711 Lake Asmere Dr," 32°47'55.73""N","117° 0'38.19""W",Weekly,Tuesday,11:30,5 min.,No,
San Carlos,San Carlos Tank,5,849,N13S,central,111 SYS,7950 Wing Span Dr," 32°48'28.50""N","117° 1'40.27""W",Weekly,,,,,Out of Service
San Carlos Estate,Del Cerro,1.5,930,L15S,central,112 SYS,5832 Rockhurst Court," 32°47'12.44""N","117° 3'37.55""W",Weekly,Monday,9:30,5 min.,No,
Alvarado,University Height North,6,536,H18S,south,114 SYS,4010 Idaho St.," 32°45'16.65""N","117° 8'3.47""W",Weekly,Wednesday,7:45,15 min.,No,
Alvarado,University Height Sourth,6,536,H18S,south,116 SYS,4010 Idaho St.," 32°45'16.65""N","117° 8'3.47""W",Weekly,Wednesday,7:45,15 min.,No,
Miramar Boosted,Miramar Tank,4.5,1150,J03S,north,238 SYS,11490 Weatherhill Way," 32°55'40.05""N","117° 6'3.87""W",Weekly,Wednesday,9:30,5 min.,No,
Paradise Mesa,Paradise Mesa Standpipe,2.5,610,M24S,south,269 SYS,1513 Statton Court," 32°41'35.76""N","117° 2'46.05""W",Weekly,Wednesday,7:15,3-5 min.,No,
Penasquitos,Black Mountain Reservoir,25,920,H02N,,292 SYS_B1 MID,14799-B Black Mountain Rd," 32°59'6.83""N","117° 7'40.31""W",Weekly,Monday,8:30,15 min.,Yes,
Penasquitos,Black Mountain Reservoir,25,920,H02N,,292 SYS_B2 MID,14799-B Black Mountain Rd," 32°59'6.83""N","117° 7'40.31""W",Weekly,Monday,8:30,15 min.,Yes,
1135 Zone Reservoir,Stone Bridge Reservoir,1.7,1135,O03S,,335 SYS_MID,14800 Stonebridge Pkwy," 32°55'36.09""N","117° 0'28.78""W",Weekly,Wednesday,8:15,15 min.,Yes,
 Distribution system impoundments are sampled weekly.,,,,,,,,,,,,,,,
Impoundments shown as SHADED are out of service.,,,,,,,,,,,,,,,
