"* Source","* Valid","*Source Type","Source  ID","Source Name","Report Grouping","Report Order #","Pressure Zone","PS Code","* Description"," Comments","Street Name","Street Suffix","Street Direction","Street Number","Street Abbreviation","Suite Number","City","State","Zip code prefix","Zip code suffix"," Location"," Latitude"," Longitude","Lat/Long Coordinate Units"," Depth","Depth Units","Depth  Basis","Date Established","Date Discontinued"," GIS ID"," DMR ID","CIWQS Monitoring Location ID","Required Control Type"
"338 SYS","Y","DIST_SYS","","SYS","",,"175","","2817 Wasp Way","175 Liberty Station  Zone","","","","","","","","","","","","","","",,"","",09/06/2007,,"","","",""
"303A SYS","Y","DIST_SYS","","SYS","",,"440","","1469 Riviera Shores St.","440 Riviera Shores Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"323 SYS","Y","DIST_SYS","","SYS",".",,"925","","11469 Stonecroft Terrace","925 Stockwood  Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"324 SYS","Y","DIST_SYS","","SYS",".",,"240","","4393 Redworks Drwy  (Behind Health Care Training)","240 Imperial Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"325 SYS","Y","DIST_SYS","","SYS",".",,"1020(229)","","Old Creek Rd & Whispering Ridge Rd","1020 Scripps Ranch Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"326 SYS","Y","DIST_SYS","","SYS",".",,"950","","8555 1/2  Run of the Knolls Drive","950 Santa Luz Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"327 SYS","Y","DIST_SYS","","SYS",".",,"730","","15625 New Park Terrace","730 North Village Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"328 SYS","Y","DIST_SYS","","SYS",".",,"1250","","16909 Stonebridge Pkwy","1250 Sycamore Estates  Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"329 SYS","Y","DIST_SYS","","SYS",".",,"1135","","14644 1/2 Old Creek Rd ","1135 Stonebridge Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"330 SYS","Y","DIST_SYS","","SYS",".",,"360","","775 Cornish Drive","360 Cornish Hill Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"331 SYS","Y","DIST_SYS","","SYS",".",,"1150","","Across from 11705 Semillon Blvd.","Pressure Zone 1150 SCRIPPS RANCH BSTD.","","","","","","","","","","","","","","",,"","",,,"","","",""
"336 SYS","Y","DIST_SYS","","SYS",".",,"865","","17696 Montero Road","865 Oaks North Zone - replaced 254 Sys","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVA_FILT_85SYS","Y","PLANTS","","X","",,"","","Alvarado Influent Filtered in lieu of SUVA","","","","","","","","","","","","","","","",,"","",,,"","","",""
"M_WASH_92SYS_2","Y","PLANTS","","X","",,"","","Method Wash #2 Otay Influent","","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVA_FILT_92SYS","Y","PLANTS","","X","",,"","","Otay Influent Filtered in lieu of SUVA","","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVA_FILT_1SYS","Y","PLANTS","","X","",,"","","Miramar Influent Filtered in lieu of SUVA","","","","","","","","","","","","","","","",,"","",,,"","","",""
"339 SYS","Y","DIST_SYS","","SYS","",,"470","","11911 Carmel Creek Road","470 Pinnacle Zone","","","","","","","","","","","","","","",,"","",03/06/2008,,"","","",""
"SUVATEST_1SYS_2","Y","PLANTS","","X","",,"","","Miramar Influent SUVA tested #2","","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVATST_85SYS_2","Y","PLANTS","","X","",,"","","Alvarado Influent SUVA tested #2","","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVATST_92SYS_2","Y","PLANTS","","X","",,"","","Otay Influent SUVA tested #2","","","","","","","","","","","","","","","",,"","",,,"","","",""
"110 SYS_TOP","Y","DIST_SYS","","IMP","",,"849","","College Ranch SP - Top ","Lake Arrowhead Dr @ Lake Ashmere Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"110 SYS_MID","Y","DIST_SYS","","IMP","",,"849","","College Ranch SP - Middle","Lake Arrowhead Dr @ Lake Ashmere Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"247A SYS","Y","DIST_SYS","","SYS","",,"470","","9125 Recho Rd ","470 El Camino Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"110 SYS_BOT","Y","DIST_SYS","","IMP","",,"849","","College Ranch SP - Bottom","Lake Arrowhead Dr @ Lake Ashmere Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"333 SYS","Y","DIST_SYS","","SYS",".",,"390(418)","","1329 Gertrude St","390 University Heights Zone - replaced 58A","","","","","","","","","","","","","","",,"","",06/06/2006,,"","","",""
"334 SYS","Y","DIST_SYS","","SYS",".",,"536(41)","","6070 Division St","536 Alvarado (41) Zone","","","","","","","","","","","","","","",,"","",06/06/2006,,"","","",""
"335 SYS_ELV1104","Y","DIST_SYS","","IMP","Miramar Scripps",,"1135","","Stonebridge Resv-elevation 1104","","","","","","","","","","","","","","","",,"","",,,"","","",""
"335 SYS_ELV1113","Y","DIST_SYS","","IMP","Miramar Scripps",,"1135","","Stonebridge Resv-elevation 1113","","","","","","","","","","","","","","","",,"","",,,"","","",""
"335 SYS_ELV1122","Y","DIST_SYS","","IMP","Miramar Scripps",,"1135","","Stonebridge Resv-elevation 1122","","","","","","","","","","","","","","","",,"","",,,"","","",""
"335 SYS_ELV1130","Y","DIST_SYS","","IMP","Miramar Scripps",,"1135","","Stonebridge Resv-elevation 1130","","","","","","","","","","","","","","","",,"","",,,"","","",""
"10 SYS","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","La Jolla View Reservoir","Brodiaea Way @ Encelia Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"SUVATEST_1SYS","Y","PLANTS","","X","",,"","","Miramar Influent SUVA tested","","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVATEST_85SYS","Y","PLANTS","","X","",,"","","Alvarado Influent SUVA tested","","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVATEST_92SYS","Y","PLANTS","","X","",,"","","Otay Influent SUVA tested","","","","","","","","","","","","","","","",,"","",,,"","","",""
"21 SYS_TOP","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"793","","Rancho Bernardo Resv - Top","16061 Big Springs Way ","","","","","","","","","","","","","","",,"","",,,"","","",""
"21 SYS_MID","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"793","","Rancho Bernardo Reservoir","16061 Big Springs Way","","","","","","","","","","","","","","",,"","",,,"","","",""
"270A SYS","Y","DIST_SYS","","SYS","",,"470","","Rancho Del Sol Way & Rancho Del Azaleas Way","Rancho Del Sol Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"91 SYS","Y","PLANTS","","PLANTS","",,"","","Alvarado TP Effluent - Filters 9-16","","","","","","","","","","","","Alvarado FP","","","",,"","",,,"","","",""
"248A SYS","Y","DIST_SYS","","SYS","",,"","","2360 Beryl St. Sample Stanchion","","","","","","","","","","","","","","","",,"","",,,"","","",""
"88 SYS","Y","PLANTS","","PLANTS","",,"","","Alvarado TP Effluent - Filters 1-8","","","","","","","","","","","","Alvarado FP","","","",,"","",,,"","","",""
"15A SYS","Y","DIST_SYS","","SYS","",,"","","Outlet pipeline from 15 Sys","","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"277A SYS","Y","DIST_SYS","","SYS","",,"470",""," 12241 Camino Del Sur","located across from 12241 Camino Del Sur","","","","","","","","","","","","","","",,"","",06/16/2010,,"","","",""
"138A SYS","Y","DIST_SYS","","SYS","",,"390(418)","","4202 N. Harbor Drive; Sample Stanchion","","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"343 SYS","Y","DIST_SYS","","SYS","",,"625","","Intersection of Flanders Rd. and Flanders Pl.","","","","","","","","","","","","Stanchion","","","",,"","",09/23/2010,,"","","",""
"21 SYS_BOT","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"793","","Rancho Bernardo Resv - Bottom","16061 Big Springs Way","","","","","","","","","","","","","","",,"","",,,"","","",""
"2009 RWSYS","Y","NCWRP","","NCW",".",,"610","","NCW Effluent Call 858-824-6001 before collection","4949 Eastgate Mall Dr","","","","","","","","","","","N City Reclam Plant - Effluent","","","",,"","",,,"","","",""
"335 SYS","Y","DIST_SYS","","IMP","Miramar Scripps",,"1135","","Stonebridge Resv - 14800 Stonebridge Pkwy ","Stonebridge Reservoir","","","","","","","","","","","","","","",,"","",06/23/2006,,"","","",""
"185 SYS","Y","DIST_SYS","","SYS",".",,"890","","11198 Ivy Hill Dr.","890 Scripps Ranch North Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"262 SYS","Y","DIST_SYS","","SYS",".",,"930","","6669 Linda Ln","930 San Carlos Estates Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"252A SYS","Y","DIST_SYS","","SYS","",,"594","","5532 Pacifica Drive","594 La Jolla Pacifica Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVAFILT_1SYS2","Y","PLANTS","","X","",,"","","Miramar Influent Filtered in lieu of SUVA","","","","","","","","","","","","","","","",,"","",,,"","","",""
"SUVAFILT_85SYS2","Y","PLANTS","","X","",,"","","Alvarado Influent Filtered in lieu of SUVA","","","","","","","","","","","","","","","",,"","",,,"","","",""
"234A SYS","Y","DIST_SYS","","SYS","",,"920","","14300 Cuca St.","","","","","","","","","","","","","","","",,"","",,,"","","",""
"340 SYS","Y","DIST_SYS","","SYS","",,"610","","13880 Crest Way ","Del Mar System feed","","","","","","","","","","","","","","",,"","",06/20/2008,,"","","",""
"341 SYS","Y","DIST_SYS","","SYS","",,"307","","1840 Quiveira Way","307 Pressure zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"282A SYS","Y","DIST_SYS","","SYS","",,"680(41)","","18169 W. Bernardo Dr. across from  Community Park","680 Bernardo Oaks (W of I-5) Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"318A SYS","Y","DIST_SYS","","SYS","",,"1020(3)","","NE corner of Trail Crest Dr and Ridge Run Way","1020 Scripps Ranch Zone-replaced 318A","","","","","","","","","","","","","","",,"","",,,"","","",""
"342 SYS","Y","DIST_SYS","","SYS","",,"472","","2883 Keen Drive. Sample stanchion","HGL 472 Paradise Hill #1 pressure zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"344 SYS","Y","DIST_SYS","","SYS","",,"625","","Intersection of Compass Pt. N and Westview Pkwy","","","","","","","","","","","","Stanchion","","","",,"","",10/15/2010,,"","","",""
"293 SYS","Y","DIST_SYS","","PLANTS",".",,"490","3710020-014","Oceanview Pump Station, 4927 Ocean View Hills Pkwy","4927 Ocean View Hills Pkwy ","","","","","","","","","","","","","","",,"","",05/02/2002,,"","","",""
"294 SYS","Y","DIST_SYS","","SYS",".",,"712","","12195 Branicole St.","625 Mira Mesa Zone Replaces 181 SYS","","","","","","","","","","","","","","",,"","",05/03/2002,,"","","",""
"295 SYS","Y","DIST_SYS","","SYS",".",,"712","","11305 Affinity Ct.","712 Miramar Zone Replaces 263 SYS","","","","","","","","","","","","","","",,"","",05/03/2002,,"","","",""
"233 SYS","Y","DIST_SYS","","SYS",".",,"920","","12119 World Trade Dr @ Fire Station","920 Carmel Mall Zone","","","","","","","","","","","Stanchion_FS","","","",,"","",,,"","","",""
"234 SYS","Y","DIST_SYS","","SYS",".",,"920","","14125 Cuca St @ Public School","","","","","","","","","","","","Stanchion_Sch","","","",,"","",,,"","","",""
"235 SYS","Y","DIST_SYS","","SYS",".",,"920","","15855 Turtleback Rd.","920 Pomerado Park Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"236 SYS","Y","DIST_SYS","","SYS",".",,"920","","15022 Avenida Venusto","","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"19 SYS_TOP","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"920(82)","","Los Penasquitos Resv Top","End of Avnda  Maria off Penasquitos Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"19 SYS_MID","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"920(82)","","Los Penasquitos Reservoir 1","End of Avnda Maria off Penasquitos Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"19 SYS_BOT","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"920(82)","","Los Penasquitos Resv  Bottom","End of Avnda  Maria off Penasquitos Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"215 SYS","Y","DIST_SYS","","SYS",".",,"463","","Across from 5105 Soledad Rd.","463 Bayview Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"298 SYS","Y","DIST_SYS","","SYS",".",,"580","","1584 Clanton Pl","1584 Clanton Pl - Gray System","","","","","","","","","","","","","","",,"","",11/21/2002,,"","","",""
"217 SYS","Y","DIST_SYS","","SYS",".",,"725","","6550 Soledad Mountain Rd","725 Soledad Muirlands Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"218 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"925 ","3710020-912","2110 Via Casa Alta @ Fire Station","925 La Jolla Soledad W Zone","","","","","","","","","","","Stanchion_FS","","","",,"","",,,"","","",""
"111 SYS_TOP","Y","DIST_SYS","","IMP",".",,"849","","San Carlos Resv Top","Tommy Dr @ Wingspan","","","","","","","","","","","Impound","","","",,"","",12/27/2002,,"","","",""
"12N SYS_BOT","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir North  Bottom","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"273 SYS","Y","DIST_SYS","","SYS",".",,"330","","Dawes St & Archer St (SE corner)","330 Archer Zone","","","","","","","","","","","","","","",,"","",10/03/2000,,"","","",""
"12N SYS_TOP","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir North  Top ","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"12S SYS_BOT","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir South Bottom","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"12N SYS_MID","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir North 1","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"2002 RWSYS","Y","NCW_DIST","","NCW",".",,"610","","5700 Blk. Erlanger St. - West side of the street","","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"SYSTEM","Y","DIST_SYS","","X",".",,"","","Entire distribution system - for averaged values","","","","","","","","","","","","Entire Distribution System","","","",,"","",,,"","","",""
"JARTEST_1SYS","Y","PLANTS","","X","Miramar Plant",,"","","Miramar Influent Jartest","","","","","","","","","","","","Miramar Plant Influent","","","",,"","",01/15/2004,,"","","",""
"JARTEST_85SYS","Y","PLANTS","","X","Alvarado Plant",,"","","Alvarado Influent Jartest","","","","","","","","","","","","Alvarado Plant Influent","","","",,"","",01/15/2004,,"","","",""
"JARTEST_92SYS","Y","PLANTS","","X","Otay Plant",,"","","Otay Influent Jartest","","","","","","","","","","","","Otay Plant Influent","","","",,"","",,,"","","",""
"321 SYS","Y","DIST_SYS","","SYS",".",,"307","","Haines St @ Felspar St.","307 Pacific Beach Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"M_WASH_92SYS","Y","PLANTS","","X","",,"","","Method Wash Otay Influent","","","","","","","","","","","","","","","",,"","",,,"","","",""
"M_WASH_1 SYS_2","Y","PLANTS","","X","",,"","","Method Wash #2 Miramar Influent","","","","","","","","","","","","","","","",,"","",,,"","","",""
"12S SYS_TOP","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir South Top ","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"58A SYS","Y","DIST_SYS","","SYS",".",,"","","1391 Gertrude St. Sample Stanchion","Tecolote Park - replaced by 333 - This stanchion is a a red gate valve.","","","","","","","","","","","Stanchion","","","",,"","",,06/05/2006,"","","",""
"208A SYS","Y","DIST_SYS","","SYS","",,"656","","Across from 6236 Wenrich","656 Del Cerro Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"211A SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"345","3710020-905","7225 Keighley St.","Between 7205 and 7225 Keighley St.","","","","","","","","","","","","","","",,"","",,,"","","",""
"98A SYS","Y","DIST_SYS","","IMP","Otay Plant",,"","","South San Diego Reservoir","","","","","","","","","","","","Clearwell","","","",,"","",,,"","","",""
"12S SYS_MID","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir South 1","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"16A SYS","Y","DIST_SYS","","IMP","Alvarado Pt. Loma",,"462","","New Catalina Standpipe","209 Catalina BLVD in Service 2015","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"2005 RWSYS","N","NCW_DIST","","NCW","MICROBIOLOGY",,"","","N. Torrey Pines Rd & Torrey Pines Scenic Drive","marked not valid due to danger for samplers","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"147 SYS","N","DIST_SYS","","SYS",".",,"","","35th & Madison","","","","","","","","","","","","","","","",,"","",,,"","","",""
"RWSYS","N","NCW_DIST","","X",".",,"","","Reclaimed Water Distribution System ","The lab no longer samples from this location.","","","","","","","","","","","","","","",,"","",,11/04/1998,"","","",""
"211 SYS","N","DIST_SYS","","SYS","",,"345","3710020-905","7225 Kighlefy St.","345 Princess Gardens Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"2003 RWSYS","N","NCW_DIST","","NCW","MICROBIOLOGY",,"610","","Torrey Pines Golf Course, 11480 N. Torrey Pines Rd","","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"113 SYS","N","DIST_SYS","","IMP","Alvarado Central",,"","","Univ Hts Resv North Influent","2720 Howard Ave @ Idaho","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"311 SYS","N","DIST_SYS","","SYS",".",,"","","5345 Toscana Way","Renaissance Ave (Valentia Apartment Complex)(created for x-connect)","","","","","","","","","","","","","","",,"","",12/21/2004,02/28/2005,"","","",""
"115 SYS","N","DIST_SYS","","IMP","Alvarado Central",,"","","Univ Hts Resv South Influent","2720 Howard Ave @ Idaho","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"133 SYS","N","DIST_SYS","","SYS",".",,"","","Reo & Rancho Hills","","","","","","","","","","","","","","","",,"","",,,"","","",""
"134 SYS","N","DIST_SYS","","SYS",".",,"","","Herrick St & 65th St","610 Paradise Mesa Zone","","","","","","","","","","","Stanchion","","","",,"","",,04/26/2001,"","","",""
"141 SYS","N","DIST_SYS","","SYS",".",,"","","30th & C","","","","","","","","","","","","","","","",,"","",,,"","","",""
"78 SYS","N","DIST_SYS","","SYS",".",,"","","3100 Blk Santo Rd & Gurnard St","600 Kearny Mesa Zone","","","","","","","","","","","Stanchion","","","",,"","",,12/03/2001,"","","",""
"228 SYS","N","DIST_SYS","","SYS",".",,"","","3510 Valley Centre Dr","470 Arroyo Sorrento Zone","","","","","","","","","","","Stanchion","","","",,"","",,12/20/2005,"","","",""
"51 SYS","N","DIST_SYS","","SYS",".",,"","","4370 Kamloop","","","","","","","","","","","","","","","",,"","",,,"","","",""
"6 SYS-SDS","N","LAB_SAMPLE","","X",".",,"","","ICR Sim Dist Sys Sample-Miramar","","","","","","","","","","","","Lab","","","",,"","",,,"","","",""
"202 SYS-SDS","N","LAB_SAMPLE","","X",".",,"","","ICR Sim Dist Sys Sample-Otay","","","","","","","","","","","","Lab","","","",,"","",,,"","","",""
"81 SYS-SDS","N","LAB_SAMPLE","","SYS",".",,"","","ICR Sim Dist Sys Sample-Alvarado","","","","","","","","","","","","Lab","","","",,"","",,,"","","",""
"292 SYS_B1","N","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"793","","Black Mountain Resv Basin 1 North","14799-B Black Mountain Rd","","","","","","","","","","","Impound","","","",,"","",12/07/2001,,"","","",""
"12S SYS","N","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir South ","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",05/21/2002,01/02/2003,"","","",""
"102 SYS","N","DIST_SYS","","IMP",".",,"","","Paradise Hills SP","","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"103 SYS","N","DIST_SYS","","IMP",".",,"","","Emerald Hills SP","Removed from Dist sys","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"104 SYS","N","DIST_SYS","","IMP",".",,"","","Encanto SP","","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"105 SYS","N","DIST_SYS","","IMP",".",,"","","Lomita Village SP","","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"106 SYS","N","DIST_SYS","","IMP","Alvarado Central",,"","","University Hts-Tank","Replaced by 114 and 116 SYS","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"107 SYS","N","DIST_SYS","","IMP","Alvarado Central",,"","","University Hts-Resv","Replaced by 114 and 116 SYS","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"297 SYS","N","DIST_SYS","","SYS",".",,"","","1514 Clanton Pl","543 Remington Hills Zone","","","","","","","","","","","","","","",,"","",11/21/2002,08/17/2004,"","","",""
"84 SYS","N","PLANTS","","PLANTS","Alvarado Plant",,"","","Alvarado Settled","","","","","","","","","","","","","","","",,"","",,,"","","",""
"1001 RWSYS","N","NCW_DIST","","NCW",".",,"790","","Willow Creek at Caminito Agadir","790 Meanley Reclaimed","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"220 SYS","N","DIST_SYS","","SYS",".",,"","","Downwind Way & Expedition Way","447 S La Jolla Cliffs Zone","","","","","","","","","","","Stanchion","","","",,"","",,11/01/2006,"","","",""
"19 SYS","N","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"920(82)","","Los Penasquitos Resv","End of Avnda  Maria off Penasquitos Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"111 SYS_BOT","N","DIST_SYS","","IMP",".",,"849","","San Carlos Resv Bottom","Tommy Dr @ Wingspan","","","","","","","","","","","Impound","","","",,"","",12/27/2002,,"","","",""
"21 SYS","N","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"793","","Rancho Bernardo Resv -16061 Big Springs Wy","16061 Big Springs Way","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"9 SYS","N","DIST_SYS","","IMP",".",,"","","La Jolla Exchange Place Resv","","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"42 SYS","N","DIST_SYS","","SYS",".",,"","","Enterprise & Midway","stanchion no longer exists","","","","","","","","","","","","","","",,"","",,11/07/2000,"","","",""
"96 SYS_TOP","N","PLANTS","","PLANTS","Otay Plant",,"490","","Otay West Clearwell Top Level-1500 Wueste Rd.","490 S San Diego Resv Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"85_SYS_STUDY","N","PLANTS","","PLANTS","",,"536","","Alvarado TP Influent - for study -5540 Kiowa Dr","536 Alvarado Zone","","","","","","","","","","","Alvarado FP","","","",,"","",,,"","","",""
"138 SYS","N","DIST_SYS","","SYS",".",,"390(418)","","Harbor Dr/Laurel St; Sample Stanchion","390 University Heights Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"99 SYS_TOP","N","PLANTS","","PLANTS","Otay Plant",,"490","","Otay East Clearwell Top Level-1500 Wueste Rd.","490 S San Diego Resv Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"202 SYS","N","DIST_SYS","","PLANTS",".",,"590","","Otay Mesa Pump Plant - 5400 Blk Otay Valley Rd","590 Otay Mesa Zone","","","","","","","","","","","Otay Lakes Rd","","","",,"","",,,"","","",""
"292 SYS","N","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"793","","Black Mountain Resv- 14799 Black Mtn Rd","14799-B Black Mountain Rd","","","","","","","","","","","Impound","","","",,"","",12/07/2001,,"","","",""
"93 SYS","N","SOURCE_WATER","","PLANTS",".",,"","","Otay Treatment Plant-Aqueduct","","","","","","","","","","","","Lower Otay FP","","","",,"","",,,"","","",""
"170 SYS","N","DIST_SYS","","SYS",".",,"","","S Valencia Pkwy & Wesmead St; Sample Stanchion","536 Alvarado Zone","","","","","","","","","","","Stanchion","","","",,"","",,02/06/2006,"","","",""
"146 SYS","N","DIST_SYS","","SYS",".",,"","","Home & Fairmount","","","","","","","","","","","","","","","",,"","",,,"","","",""
"77 SYS","N","DIST_SYS","","SYS",".",,"","","Seda Dr & Clairmont Mesa Blvd","752 Tierrasanta Zone","","","","","","","","","","","Stanchion","","","",,"","",,12/03/2001,"","","",""
"46 SYS","N","DIST_SYS","","SYS",".",,"","","Ingraham & Mission Bay Dr","","","","","","","","","","","","","","","",,"","",,,"","","",""
"180 SYS","N","DIST_SYS","","SYS",".",,"793","","Matinal Rd & Poblado Rd","793 Rancho Bernardo Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"47 SYS","N","DIST_SYS","","SYS",".",,"","","Mission Blvd & Pacific Beach Dr","","","","","","","","","","","","","","","",,"","",,,"","","",""
"263 SYS","N","DIST_SYS","","SYS",".",,"","","10940 Scripps Ranch Blvd","712 Miramar Zone Replaced w/295 SYS","","","","","","","","","","","Sample Box","","","",,"","",,05/03/2002,"","","",""
"178 SYS","N","DIST_SYS","","SYS",".",,"370","","1025 W. Muirlands Dr","370 La Jolla hermosa Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"1 SYS-INF CHNL","N","PLANTS","","PLANTS","WriteOn",,"712","3710020-007","Miramar T P Influent Channel-10710 Scripps Lk Dr","712 Miramar Zone","","","","","","","","","","","Miramar FP","","","",,"","",,,"","","",""
"151 SYS","N","DIST_SYS","","SYS",".",,"645","","Montesuma Rd & 54th St","645 Redwood Village Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"308 SYS","N","DIST_SYS","","SYS",".",,"","","10102 Hoyt Park Dr.","Carrol Canyon Road Backflow test port (created for X-Connect)","","","","","","","","","","","","","","",,"","",12/21/2004,02/28/2005,"","","",""
"1002 RWSYS","N","NCW_DIST","","NCW",".",,"","","8200 Blk. Miramar Rd. at Cabot Drive","","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"12N SYS","N","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Reservoir North ","1975 Parkview Terrace","","","","","","","","","","","Impound","","","",,"","",05/21/2002,01/02/2003,"","","",""
"55 SYS","N","DIST_SYS","","SYS",".",,"","","Lehrer Dr & Diane Ave","559 Northwest Mesa Zone","","","","","","","","","","","Stanchion_Sch","","","",,"","",,,"","","",""
"312 SYS","N","DIST_SYS","","SYS",".",,"","","6431 Gulfstrand St. ","Governor Drive ( University Gardens Comm. Park)created for x-connect)","","","","","","","","","","","","","","",,"","",12/21/2004,02/28/2005,"","","",""
"58 SYS","N","DIST_SYS","","SYS",".",,"","","Goshen ST & Linda Vista Rd","390 University Heights Zone - replaced by 58A because of a busy intersection","","","","","","","","","","","Stanchion","","","",,"","",,06/16/2003,"","","",""
"204 SYS","N","DIST_SYS","","SYS",".",,"","","2790 Sylvy Way","490 Bay Terrace Zone","","","","","","","","","","","Stanchion","","","",,"","",,05/19/2005,"","","",""
"2007 RWSYS","N","NCW_DIST","","NCW",".",,"640","","N. Torrey Pines Rd & Science Park Dr","640 Genessee","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
