"csdspcode","name","p.code","p.value","depth.zone"
422,"Artacamella hancocki","P072",3.05299094,"shallow"
578,"Aruga holmesi","P073",-22.39580117,"deep"
578,"Aruga holmesi","P073",-18.75054181,"mid"
578,"Aruga holmesi","P073",NA,"shallow"
466,"Aruga oculata","P074",NA,"deep"
466,"Aruga oculata","P074",10.51258802,"mid"
466,"Aruga oculata","P074",26.5277293,"shallow"
97,"Asabellides lineata","P075",-6.904741394,"deep"
97,"Asabellides lineata","P075",-18.58553162,"mid"
97,"Asabellides lineata","P075",19.75905693,"shallow"
500,"Asteropella slatteryi","P076",16.42499203,"deep"
500,"Asteropella slatteryi","P076",0.32239808,"mid"
500,"Asteropella slatteryi","P076",-6.062034943,"shallow"
800,"Astropecten californicus","P077",-14.05260359,"deep"
800,"Astropecten californicus","P077",6.53794015,"mid"
800,"Astropecten californicus","P077",-5.981553408,"shallow"
43,"Epigamia-Myrianida Cmplx","P078",NA,"deep"
43,"Epigamia-Myrianida Cmplx","P078",3.836445912,"mid"
43,"Epigamia-Myrianida Cmplx","P078",NA,"shallow"
612,"Axinopsida serricata","P079",60.36019459,"deep"
612,"Axinopsida serricata","P079",26.96465537,"mid"
612,"Axinopsida serricata","P079",69.74568306,"shallow"
767,"Xenoleberis californica","P080",-15.44545681,"deep"
767,"Xenoleberis californica","P080",30.60998521,"mid"
767,"Xenoleberis californica","P080",45.95417502,"shallow"
1666,"Bathyleberis sp","P080",-15.44545681,"deep"
1666,"Bathyleberis sp","P080",30.60998521,"mid"
1666,"Bathyleberis sp","P080",45.95417502,"shallow"
1845,"Bathyleberis hancocki","P080",-15.44545681,"deep"
1845,"Bathyleberis hancocki","P080",30.60998521,"mid"
1845,"Bathyleberis hancocki","P080",45.95417502,"shallow"
2323,"Bathyleberis cf garthi","P080",-15.44545681,"deep"
2323,"Bathyleberis cf garthi","P080",30.60998521,"mid"
2323,"Bathyleberis cf garthi","P080",45.95417502,"shallow"
2757,"Bathyleberis sp la1","P080",-15.44545681,"deep"
2757,"Bathyleberis sp la1","P080",30.60998521,"mid"
2757,"Bathyleberis sp la1","P080",45.95417502,"shallow"
1061,"Bathymedon pumilus","P081",-14.91960668,"deep"
1061,"Bathymedon pumilus","P081",-15.11194956,"mid"
1061,"Bathymedon pumilus","P081",NA,"shallow"
2477,"Bathymedon vulpeculus","P082",2.840225934,"deep"
2477,"Bathymedon vulpeculus","P082",NA,"mid"
2477,"Bathymedon vulpeculus","P082",NA,"shallow"
1036,"Bemlos audbettius","P083",-43.2135693,"deep"
1036,"Bemlos audbettius","P083",-4.470415368,"mid"
1036,"Bemlos audbettius","P083",-3.388355346,"shallow"
610,"Lirobittium larum","P084",18.10484605,"deep"
610,"Lirobittium larum","P084",15.54375213,"mid"
610,"Lirobittium larum","P084",-3.566568381,"shallow"
1559,"Lirobittium rugatum","P084",18.10484605,"deep"
1559,"Lirobittium rugatum","P084",15.54375213,"mid"
